Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim-d100,15000,8,16,1.0,asynchronous,1000,32,0.00273719,3613,16,238,0,0,0,9,0,76,0,244,235,0
sandpile,./sandpile_sim-d100,15000,4,32,1.0,asynchronous,1000,32,0.000541615,3613,16,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,8,32,1.0,asynchronous,1000,32,0.00142126,3613,16,53,0,0,0,0,0,0,0,52,52,0
sandpile,./sandpile_sim-d100,15000,4,64,1.0,asynchronous,1000,32,0.00054784,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,64,1.0,asynchronous,1000,32,0.00698649,3613,16,437,0,20,0,14,11,303,20,442,416,0
sandpile,./sandpile_sim-d100,15000,4,128,1.0,asynchronous,1000,32,0.000715283,3613,16,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim-d100,15000,8,128,1.0,asynchronous,1000,32,0.000558573,3613,16,25,0,0,0,0,0,0,0,24,24,0
sandpile,./sandpile_sim-d100,15000,4,256,1.0,asynchronous,1000,32,0.000539182,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,256,1.0,asynchronous,1000,32,0.00205413,3613,16,141,0,0,0,1,0,8,0,141,140,0
sandpile,./sandpile_sim-d100,15000,16,4,1.0,asynchronous,1000,32,0.083032,3613,16,7625,0,868,0,790,402,19993,829,8214,6732,0
sandpile,./sandpile_sim-d100,15000,16,16,1.0,asynchronous,1000,32,0.117437,3613,16,12112,0,1952,0,1360,889,37858,1952,13096,10150,0
sandpile,./sandpile_sim-d100,15000,16,32,1.0,asynchronous,1000,32,0.0438871,3613,16,5079,0,512,0,485,252,11806,512,5434,4546,0
sandpile,./sandpile_sim-d100,15000,32,64,1.0,asynchronous,1000,32,0.0108821,3613,16,494,0,20,0,17,11,351,20,496,467,0
sandpile,./sandpile_sim-d100,15000,16,128,1.0,asynchronous,1000,32,0.0626791,3613,16,5059,0,541,0,480,265,12477,540,5424,4515,0
sandpile,./sandpile_sim-d100,15000,16,256,1.0,asynchronous,1000,32,0.226596,3613,16,36215,0,9000,0,4421,3848,155665,9000,38356,27213,0
sandpile,./sandpile_sim-d100,15000,4,0,0.75,asynchronous,1000,32,0.00050099,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,0,0.75,asynchronous,1000,32,0.00212021,3613,16,140,0,0,0,1,0,8,0,134,133,0
sandpile,./sandpile_sim-d100,15000,4,0,0.50,asynchronous,1000,32,0.000583212,3613,16,22,0,0,0,0,0,0,0,17,17,0
sandpile,./sandpile_sim-d100,15000,8,0,0.50,asynchronous,1000,32,0.00115255,3613,16,74,0,0,0,0,0,0,0,69,69,0
sandpile,./sandpile_sim-d100,15000,4,0,0.25,asynchronous,1000,32,0.000459328,3613,16,15,0,0,0,0,0,0,0,14,14,0
sandpile,./sandpile_sim-d100,15000,4,0,0.05,asynchronous,1000,32,0.000609905,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,0,0.05,asynchronous,1000,32,0.000688306,3613,16,16,0,0,0,0,0,0,0,15,15,0
sandpile,./sandpile_sim-d100,15000,16,0,0.75,asynchronous,1000,32,0.00226236,3613,16,250,0,0,0,9,0,76,0,254,245,0
sandpile,./sandpile_sim-d100,15000,16,0,0.50,asynchronous,1000,32,0.00104802,3613,16,61,0,0,0,0,0,0,0,60,60,0
sandpile,./sandpile_sim-d100,15000,16,0,0.05,asynchronous,1000,32,0.555963,3613,16,113356,0,39281,0,15850,14922,592512,39269,119171,74030,0
sandpile,./sandpile_sim-d100,15000,32,0,0.05,asynchronous,1000,32,0.0404674,3613,16,441,0,16,0,16,8,302,16,448,423,0
sandpile,./sandpile_sim-d100,15000,32,32,1.0,asynchronous,1000,32,0.0712739,3613,16,1097,0,52,0,65,29,1577,52,1150,1044,0
sandpile,./sandpile_sim-d100,15000,16,64,1.0,asynchronous,1000,32,0.0129691,3613,16,1267,0,72,0,83,40,2110,72,1315,1178,0
sandpile,./sandpile_sim-d100,15000,32,128,1.0,asynchronous,1000,32,1.43199,3613,16,37902,0,10694,0,4737,4451,173262,10688,40224,27207,18
sandpile,./sandpile_sim-d100,15000,32,256,1.0,asynchronous,1000,32,0.0180312,3613,16,437,0,20,0,15,11,315,20,443,416,0
sandpile,./sandpile_sim-d100,15000,32,0,0.75,asynchronous,1000,32,0.32789,3613,16,8173,0,1054,0,890,449,23291,1049,8862,7118,0
sandpile,./sandpile_sim-d100,15000,16,0,0.25,asynchronous,1000,32,0.00165106,3613,16,162,0,0,0,1,0,8,0,158,157,0
sandpile,./sandpile_sim-d100,15000,32,0,0.25,asynchronous,1000,32,0.0598052,3613,16,1393,0,126,0,107,58,2882,126,1465,1245,0
sandpile,./sandpile_sim-d100,15000,32,4,1.0,asynchronous,1000,32,1.67474,3613,16,37863,0,10648,0,4909,4476,161648,10638,40746,27214,17
sandpile,./sandpile_sim-d100,15000,32,0,0.50,asynchronous,1000,32,1.30698,3613,16,37722,0,10277,0,4771,4313,172155,10270,40270,27408,18
sandpile,./sandpile_sim-d100,15000,32,0,0.25,asynchronous,1000,32,5.91428,3613,16,238732,0,97007,0,35482,36167,1498701,97004,247889,141689,19
sandpile,./sandpile_sim-d100,15000,4,4,1.0,asynchronous,1000,32,0.000536418,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,4,16,1.0,asynchronous,1000,32,0.000523883,3613,16,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim-d100,15000,8,16,1.0,asynchronous,1000,32,0.00273719,3613,16,238,0,0,0,9,0,76,0,244,235,0
sandpile,./sandpile_sim-d100,15000,4,32,1.0,asynchronous,1000,32,0.000541615,3613,16,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,8,32,1.0,asynchronous,1000,32,0.00142126,3613,16,53,0,0,0,0,0,0,0,52,52,0
sandpile,./sandpile_sim-d100,15000,4,64,1.0,asynchronous,1000,32,0.00054784,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,64,1.0,asynchronous,1000,32,0.00698649,3613,16,437,0,20,0,14,11,303,20,442,416,0
sandpile,./sandpile_sim-d100,15000,4,128,1.0,asynchronous,1000,32,0.000715283,3613,16,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim-d100,15000,8,128,1.0,asynchronous,1000,32,0.000558573,3613,16,25,0,0,0,0,0,0,0,24,24,0
sandpile,./sandpile_sim-d100,15000,4,256,1.0,asynchronous,1000,32,0.000539182,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,256,1.0,asynchronous,1000,32,0.00205413,3613,16,141,0,0,0,1,0,8,0,141,140,0
sandpile,./sandpile_sim-d100,15000,16,4,1.0,asynchronous,1000,32,0.083032,3613,16,7625,0,868,0,790,402,19993,829,8214,6732,0
sandpile,./sandpile_sim-d100,15000,16,16,1.0,asynchronous,1000,32,0.117437,3613,16,12112,0,1952,0,1360,889,37858,1952,13096,10150,0
sandpile,./sandpile_sim-d100,15000,16,32,1.0,asynchronous,1000,32,0.0438871,3613,16,5079,0,512,0,485,252,11806,512,5434,4546,0
sandpile,./sandpile_sim-d100,15000,32,64,1.0,asynchronous,1000,32,0.0108821,3613,16,494,0,20,0,17,11,351,20,496,467,0
sandpile,./sandpile_sim-d100,15000,16,128,1.0,asynchronous,1000,32,0.0626791,3613,16,5059,0,541,0,480,265,12477,540,5424,4515,0
sandpile,./sandpile_sim-d100,15000,16,256,1.0,asynchronous,1000,32,0.226596,3613,16,36215,0,9000,0,4421,3848,155665,9000,38356,27213,0
sandpile,./sandpile_sim-d100,15000,4,0,0.75,asynchronous,1000,32,0.00050099,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,0,0.75,asynchronous,1000,32,0.00212021,3613,16,140,0,0,0,1,0,8,0,134,133,0
sandpile,./sandpile_sim-d100,15000,4,0,0.50,asynchronous,1000,32,0.000583212,3613,16,22,0,0,0,0,0,0,0,17,17,0
sandpile,./sandpile_sim-d100,15000,8,0,0.50,asynchronous,1000,32,0.00115255,3613,16,74,0,0,0,0,0,0,0,69,69,0
sandpile,./sandpile_sim-d100,15000,4,0,0.25,asynchronous,1000,32,0.000459328,3613,16,15,0,0,0,0,0,0,0,14,14,0
sandpile,./sandpile_sim-d100,15000,4,0,0.05,asynchronous,1000,32,0.000609905,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,0,0.05,asynchronous,1000,32,0.000688306,3613,16,16,0,0,0,0,0,0,0,15,15,0
sandpile,./sandpile_sim-d100,15000,16,0,0.75,asynchronous,1000,32,0.00226236,3613,16,250,0,0,0,9,0,76,0,254,245,0
sandpile,./sandpile_sim-d100,15000,16,0,0.50,asynchronous,1000,32,0.00104802,3613,16,61,0,0,0,0,0,0,0,60,60,0
sandpile,./sandpile_sim-d100,15000,16,0,0.05,asynchronous,1000,32,0.555963,3613,16,113356,0,39281,0,15850,14922,592512,39269,119171,74030,0
sandpile,./sandpile_sim-d100,15000,32,0,0.05,asynchronous,1000,32,0.0404674,3613,16,441,0,16,0,16,8,302,16,448,423,0
sandpile,./sandpile_sim-d100,15000,32,32,1.0,asynchronous,1000,32,0.0712739,3613,16,1097,0,52,0,65,29,1577,52,1150,1044,0
sandpile,./sandpile_sim-d100,15000,16,64,1.0,asynchronous,1000,32,0.0129691,3613,16,1267,0,72,0,83,40,2110,72,1315,1178,0
sandpile,./sandpile_sim-d100,15000,32,128,1.0,asynchronous,1000,32,1.43199,3613,16,37902,0,10694,0,4737,4451,173262,10688,40224,27207,18
sandpile,./sandpile_sim-d100,15000,32,256,1.0,asynchronous,1000,32,0.0180312,3613,16,437,0,20,0,15,11,315,20,443,416,0
sandpile,./sandpile_sim-d100,15000,32,0,0.75,asynchronous,1000,32,0.32789,3613,16,8173,0,1054,0,890,449,23291,1049,8862,7118,0
sandpile,./sandpile_sim-d100,15000,16,0,0.25,asynchronous,1000,32,0.00165106,3613,16,162,0,0,0,1,0,8,0,158,157,0
sandpile,./sandpile_sim-d100,15000,32,0,0.25,asynchronous,1000,32,0.0598052,3613,16,1393,0,126,0,107,58,2882,126,1465,1245,0
sandpile,./sandpile_sim-d100,15000,32,4,1.0,asynchronous,1000,32,1.67474,3613,16,37863,0,10648,0,4909,4476,161648,10638,40746,27214,17
sandpile,./sandpile_sim-d100,15000,32,0,0.50,asynchronous,1000,32,1.30698,3613,16,37722,0,10277,0,4771,4313,172155,10270,40270,27408,18
sandpile,./sandpile_sim-d100,15000,32,0,0.25,asynchronous,1000,32,5.91428,3613,16,238732,0,97007,0,35482,36167,1498701,97004,247889,141689,19
sandpile,./sandpile_sim-d100,15000,4,4,1.0,asynchronous,1000,32,0.000536418,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,4,16,1.0,asynchronous,1000,32,0.000523883,3613,16,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim-d100,15000,8,16,1.0,asynchronous,1000,32,0.00273719,3613,16,238,0,0,0,9,0,76,0,244,235,0
sandpile,./sandpile_sim-d100,15000,4,32,1.0,asynchronous,1000,32,0.000541615,3613,16,6,0,0,0,0,0,0,0,1,1,0
sandpile,./sandpile_sim-d100,15000,8,32,1.0,asynchronous,1000,32,0.00142126,3613,16,53,0,0,0,0,0,0,0,52,52,0
sandpile,./sandpile_sim-d100,15000,4,64,1.0,asynchronous,1000,32,0.00054784,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,64,1.0,asynchronous,1000,32,0.00698649,3613,16,437,0,20,0,14,11,303,20,442,416,0
sandpile,./sandpile_sim-d100,15000,4,128,1.0,asynchronous,1000,32,0.000715283,3613,16,8,0,0,0,0,0,0,0,7,7,0
sandpile,./sandpile_sim-d100,15000,8,128,1.0,asynchronous,1000,32,0.000558573,3613,16,25,0,0,0,0,0,0,0,24,24,0
sandpile,./sandpile_sim-d100,15000,4,256,1.0,asynchronous,1000,32,0.000539182,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,256,1.0,asynchronous,1000,32,0.00205413,3613,16,141,0,0,0,1,0,8,0,141,140,0
sandpile,./sandpile_sim-d100,15000,16,4,1.0,asynchronous,1000,32,0.083032,3613,16,7625,0,868,0,790,402,19993,829,8214,6732,0
sandpile,./sandpile_sim-d100,15000,16,16,1.0,asynchronous,1000,32,0.117437,3613,16,12112,0,1952,0,1360,889,37858,1952,13096,10150,0
sandpile,./sandpile_sim-d100,15000,16,32,1.0,asynchronous,1000,32,0.0438871,3613,16,5079,0,512,0,485,252,11806,512,5434,4546,0
sandpile,./sandpile_sim-d100,15000,32,64,1.0,asynchronous,1000,32,0.0108821,3613,16,494,0,20,0,17,11,351,20,496,467,0
sandpile,./sandpile_sim-d100,15000,16,128,1.0,asynchronous,1000,32,0.0626791,3613,16,5059,0,541,0,480,265,12477,540,5424,4515,0
sandpile,./sandpile_sim-d100,15000,16,256,1.0,asynchronous,1000,32,0.226596,3613,16,36215,0,9000,0,4421,3848,155665,9000,38356,27213,0
sandpile,./sandpile_sim-d100,15000,4,0,0.75,asynchronous,1000,32,0.00050099,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,0,0.75,asynchronous,1000,32,0.00212021,3613,16,140,0,0,0,1,0,8,0,134,133,0
sandpile,./sandpile_sim-d100,15000,4,0,0.50,asynchronous,1000,32,0.000583212,3613,16,22,0,0,0,0,0,0,0,17,17,0
sandpile,./sandpile_sim-d100,15000,8,0,0.50,asynchronous,1000,32,0.00115255,3613,16,74,0,0,0,0,0,0,0,69,69,0
sandpile,./sandpile_sim-d100,15000,4,0,0.25,asynchronous,1000,32,0.000459328,3613,16,15,0,0,0,0,0,0,0,14,14,0
sandpile,./sandpile_sim-d100,15000,4,0,0.05,asynchronous,1000,32,0.000609905,3613,16,7,0,0,0,0,0,0,0,6,6,0
sandpile,./sandpile_sim-d100,15000,8,0,0.05,asynchronous,1000,32,0.000688306,3613,16,16,0,0,0,0,0,0,0,15,15,0
sandpile,./sandpile_sim-d100,15000,16,0,0.75,asynchronous,1000,32,0.00226236,3613,16,250,0,0,0,9,0,76,0,254,245,0
sandpile,./sandpile_sim-d100,15000,16,0,0.50,asynchronous,1000,32,0.00104802,3613,16,61,0,0,0,0,0,0,0,60,60,0
sandpile,./sandpile_sim-d100,15000,16,0,0.05,asynchronous,1000,32,0.555963,3613,16,113356,0,39281,0,15850,14922,592512,39269,119171,74030,0
sandpile,./sandpile_sim-d100,15000,32,0,0.05,asynchronous,1000,32,0.0404674,3613,16,441,0,16,0,16,8,302,16,448,423,0
sandpile,./sandpile_sim-d100,15000,32,32,1.0,asynchronous,1000,32,0.0712739,3613,16,1097,0,52,0,65,29,1577,52,1150,1044,0
sandpile,./sandpile_sim-d100,15000,16,64,1.0,asynchronous,1000,32,0.0129691,3613,16,1267,0,72,0,83,40,2110,72,1315,1178,0
sandpile,./sandpile_sim-d100,15000,32,128,1.0,asynchronous,1000,32,1.43199,3613,16,37902,0,10694,0,4737,4451,173262,10688,40224,27207,18
sandpile,./sandpile_sim-d100,15000,32,256,1.0,asynchronous,1000,32,0.0180312,3613,16,437,0,20,0,15,11,315,20,443,416,0
sandpile,./sandpile_sim-d100,15000,32,0,0.75,asynchronous,1000,32,0.32789,3613,16,8173,0,1054,0,890,449,23291,1049,8862,7118,0
sandpile,./sandpile_sim-d100,15000,16,0,0.25,asynchronous,1000,32,0.00165106,3613,16,162,0,0,0,1,0,8,0,158,157,0
sandpile,./sandpile_sim-d100,15000,32,0,0.25,asynchronous,1000,32,0.0598052,3613,16,1393,0,126,0,107,58,2882,126,1465,1245,0
sandpile,./sandpile_sim-d100,15000,32,4,1.0,asynchronous,1000,32,1.67474,3613,16,37863,0,10648,0,4909,4476,161648,10638,40746,27214,17
sandpile,./sandpile_sim-d100,15000,32,0,0.50,asynchronous,1000,32,1.30698,3613,16,37722,0,10277,0,4771,4313,172155,10270,40270,27408,18
sandpile,./sandpile_sim-d100,15000,32,0,0.25,asynchronous,1000,32,5.91428,3613,16,238732,0,97007,0,35482,36167,1498701,97004,247889,141689,19
